episode_date,episode_theme,episode_url,track_number,title,artist,raw_title,notes
2014.10.05,TRAVELLING WITHOUT MOVING,https://www.j-wave.co.jp/original/travelling/141005.html,1,Travelling Without Moving,Opik,Travelling Without Moving / Opik,">>> See On Air Notes

『Feed Your Head』というタイトルのチルアウト系コンピレーション・アルバムに収録されています。"
2014.10.05,TRAVELLING WITHOUT MOVING,https://www.j-wave.co.jp/original/travelling/141005.html,2,Motion Pictures (For Carrie),Neil Young,Motion Pictures (For Carrie) / Neil Young,1974年にリリースされたアルバム『On The Beach?渚にて』の収録曲。訓市はこの曲を聴くと「ウィスキー・コーク」が飲みたくなる・・・とか。海の家「スプートニック」の定番曲でした。
2014.10.05,TRAVELLING WITHOUT MOVING,https://www.j-wave.co.jp/original/travelling/141005.html,3,Dawn,Hiroshi Fujiwara,Dawn / Hiroshi Fujiwara,藤原ヒロシの2枚組ベスト・アルバムに収録。「Dawn」タイトル通り、夜明け時の徐々に空の色が変化していく様子を描写したような名曲！
2014.10.05,TRAVELLING WITHOUT MOVING,https://www.j-wave.co.jp/original/travelling/141005.html,4,Luv(sic) Pt.2,Shingo2,Luv(sic) Pt.2 / Shingo2,訓市曰く、「バックトラックがおセンチでGood！」
2014.10.05,TRAVELLING WITHOUT MOVING,https://www.j-wave.co.jp/original/travelling/141005.html,5,Cantimilla,Tranquility Bass,Cantimilla / Tranquility Bass,訓市がアメリカの友人宅で聴かせてもらって一発で気に入った曲。ポイントは「子供の声」...
2014.10.05,TRAVELLING WITHOUT MOVING,https://www.j-wave.co.jp/original/travelling/141005.html,6,Walk On The Wild Side,TOK TOK TOK,Walk On The Wild Side / TOK TOK TOK,オリジナルはルー・リードで、1972年のセカンド・アルバムに収録。TOK TOK TOKは女性ヴォーカルをフィーチャーしたソウルフルでジャジーなテイストが魅力のドイツのグループです。
2014.10.05,TRAVELLING WITHOUT MOVING,https://www.j-wave.co.jp/original/travelling/141005.html,7,Busride,Ry Cooder,Busride / Ry Cooder,ウォン・カーワイ監督の映画『My Blueberry Nights』に収録されているライ・クーダーによるインスト曲。
2014.10.05,TRAVELLING WITHOUT MOVING,https://www.j-wave.co.jp/original/travelling/141005.html,8,Pink Moon,Nick Drake,Pink Moon / Nick Drake,ニック・ドレイクはイギリス人シンガーソングライターで、170年代前半に活躍するも、弱冠26歳という若さでこの世を去った伝説的ミュージシャン。
2014.10.05,TRAVELLING WITHOUT MOVING,https://www.j-wave.co.jp/original/travelling/141005.html,9,A Love Song,Ego-Wrappin',A Love Song / Ego-Wrappin',中納良恵と森雅樹の２人によるユニット、エゴ・ラッピン。キーワードは昭和歌謡??
2014.10.12,A Whole Life Catalog,https://www.j-wave.co.jp/original/travelling/141012.html,1,Can't Take My Eyes Off Of You,Lauryn Hill,Can't Take My Eyes Off Of You / Lauryn Hill,現在、大ヒット中の映画『ジャージー・ボーイズ』でフィーチャーされているヴォーカル・グループ、ザ・フォーシーズンズのリード・ヴォーカル：フランキー・ヴァリが1967年に放った大ヒット曲のカバー・ヴァージョン。邦題は「君の瞳に恋している」。多くのアーティストが取り上げていますが、日本で最もポピュラーなのは、ボーイズ・タウン・ギャングによるディスコ・ヴァージョンです。
2014.10.12,A Whole Life Catalog,https://www.j-wave.co.jp/original/travelling/141012.html,2,The Long Road,Eddie Vedder with NUSRAT FATEH ALI KHAN,The Long Road / Eddie Vedder with NUSRAT FATEH ALI KHAN,ティム・ロビンスが監督、脚本を担当した1995年の映画『Dead Man Walking』のサントラに収録。エディ・ヴェダーはオルタナティヴ系のロック・バンド、パール・ジャムのリード・シンガーです。
2014.10.12,A Whole Life Catalog,https://www.j-wave.co.jp/original/travelling/141012.html,3,Love Is Stronger Than Pride,Sade,Love Is Stronger Than Pride / Sade,実は、個人名ではなくて・・・バンド！ナイジェリア出身の女性ヴォーカリスト、シャーデー・アデュを中心にイギリスで結成されたグループで、シャーデーの艶っぽくてクールな歌声と洗練されたアレンジが魅力です。J-WAVEでは1988年の開局当時から御用達！
2014.10.12,A Whole Life Catalog,https://www.j-wave.co.jp/original/travelling/141012.html,4,"Stay (Faraway, So Close!)",U2,"Stay (Faraway, So Close!) / U2","世界最高峰のロックバンドU2の1993年のアルバム『Zoorapa』に収録されている曲で、この別ヴァージョンはヴィム・ベンダース監督の映画『Faraway, So Close!』のサントラに使われています。今回は『Zooropa』のヴァージョンをオンエア..."
2014.10.12,A Whole Life Catalog,https://www.j-wave.co.jp/original/travelling/141012.html,5,Memory Of A Fee Festival,David Bowie,Memory Of A Fee Festival / David Bowie,キャリア半世紀を誇るイギリスを代表するヴォーカリスト、デヴィッド・ボウイ... 彼が映画『2001年宇宙の旅』をモチーフに制作した1969年のアルバム『Space Oddity』に収録されている曲です。
2014.10.12,A Whole Life Catalog,https://www.j-wave.co.jp/original/travelling/141012.html,6,Don't Ask Why,My Bloody Valentine,Don't Ask Why / My Bloody Valentine,U2と同郷のアイルランド、ダブリンで結成されたバンドで、「Don't Ask Why」は1991年にリリースされたEPに収録された名曲。1997年に解散するも、2013年に突如、新作をリリースしています。
2014.10.12,A Whole Life Catalog,https://www.j-wave.co.jp/original/travelling/141012.html,7,Alsoa,The Slip,Alsoa / The Slip,米マサチューセッツのボストンをベースにした3人組バンドThe Slip。編成はヴォーカル＆ギター、ベース、ドラムスで、「ジャズ」の要素も感じられてGoodです！
2014.10.12,A Whole Life Catalog,https://www.j-wave.co.jp/original/travelling/141012.html,8,Tom Traubert's Blues,Tom Waits,Tom Traubert's Blues / Tom Waits,米カリフォルニア出身のシンガーソングライター、トム・ウェイツ。一聴すれば彼と分かる「しゃがれた歌声」が最大の魅力です。1976年のアルバム『Small Change』に収録されている「Tom Traubert's Blues」は彼の代表曲のひとつ。
2014.10.19,10月19日のテーマは「Drive」,https://www.j-wave.co.jp/original/travelling/141019.html,1,Drive,The Cars,♪ Drive / The Cars,グループ名が「ザ・カーズ」で、最大のヒット曲が「ドライブ」... ヴォーカルのリック・オケイセックを中心としたアメリカのニュー・ウェイブ系バンドで、1970年代中期から80年代にかけて活躍しました。
2014.10.19,10月19日のテーマは「Drive」,https://www.j-wave.co.jp/original/travelling/141019.html,2,America,Simon & Garfunkel,♪ America / Simon & Garfunkel,ポール・サイモンとアート・ガーファンクルからなるシンガー・ソング・ライター・デュオ。「明日に掛ける橋」「サウンド・オブ・サイレンス」など、誰もが一度は聴いたことがある名曲ではなく、敢えてセレクト！1968年にリリースされたアルバム『Bookends』に収録されている曲で、歌詞の中に「アメリカ」の都市の名前が織り込まれています。
2014.10.19,10月19日のテーマは「Drive」,https://www.j-wave.co.jp/original/travelling/141019.html,3,Drive All Night,Bruce Springsteen,♪ Drive All Night / Bruce Springsteen,「ボス」の愛称でお馴染みのアメリカ・ミュージック・シーンを代表するロック・ヴォーカリスト＝ブルース・スプリングスティーン。『Born To Run』('75)、『Darkness On The Edge Of Town』('78)といった2枚のアルバムで不動の地位を築いた後、1980年にリリースされた2枚組の超大作『The River』に収録されている曲。
2014.10.19,10月19日のテーマは「Drive」,https://www.j-wave.co.jp/original/travelling/141019.html,4,Blie Moon Revisited (For Elvis),Cowboy Junkies,♪ Blie Moon Revisited (For Elvis) /Cowboy Junkies,カナダのトロント出身のバンド、カウボーイ・ジャンキーズ。1988年にリリースされた初リーダー作『Trinity Session』に収録されたクールなトラックです。
2014.10.19,10月19日のテーマは「Drive」,https://www.j-wave.co.jp/original/travelling/141019.html,5,Open Armas,Journey,♪ Open Armas / Journey,元サンタナのギタリスト：ニール・ショーンと、キーボードのグレッグ・ローリーを中心に結成されたロック・バンドで、メンバー・チェンジを経ながら1980年代にはヒット曲を量産。ヴォーカルのスティーヴ・ペリー在籍時のこの曲はグループとして最大のヒットを記録しました。暑い！訓市曰く・・・新宿の某百貨店に行った時に、駐車場がすごく混んで入れなくて、係の人は大勢いるのに車が全く動かないじゃないかとイライラしていた時、ラジオからこの曲が流れてきて・・・ すると、景色が一変して、この人たちは地球を助けるために働いてて、笑顔で僕を迎えてくれているという気分になっちゃって。イライラした時には、こういう仰々しい曲が自分の気持ちを救ってくれるっていうことに気づいたんです。
2014.10.19,10月19日のテーマは「Drive」,https://www.j-wave.co.jp/original/travelling/141019.html,6,そして僕は途方に暮れる (Special Dance Mix),大沢誉志幸,♪ そして僕は途方に暮れる (Special Dance Mix) / 大沢誉志幸,松田聖子の名曲「Sweet Memories」の作曲者で、1980年代にニューミュージック、歌謡曲の編曲を数多く手掛けている敏腕！大村雅朗氏の手によるリミックス・ヴァージョン。キーワードは「アーバン感」です。訓市のコメントから… 車で夜走っている時にアーバン感が足りないときってありませんか？そういう時にこれをかけるとちっぽけなビルが摩天楼に見えてきたりしますね。アーバン感が足りない時は、通常の「そして僕は途方に暮れる」でいいんですけど、アーバン感をギリギリまで引っ張りたいアナタにはこの12インチのロングバージョンがおススメ！イントロが1分以上あって、シンセベースの音がソワソワ感をアップしてくれるハズです。
